10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F0, 10, 00, 09, 00, 00, FF, FC, FF, FF, 00, 03, 00, 00, 06, 11, 00, 00, 02, BA, 00, 00, C1, 57, 00, 00, 01, 3E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 7B, 16, 00, 0E, FF, FF, FF, EB, FF, FF, 00, 02, 00, 00, 06, 20, 00, 00, 02, ED, 00, 00, C1, A7, 00, 00, 01, 52
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 7C, A4, 41, 41, FF, FE, 78, E8, 00, 00, A2, 7A, 00, 00, 9C, 1E, 00, 7D, 5C, E5, 00, 4A, BD, 25, 0F, A5, 00, C0
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 7E, 32, 00, 03, 00, 00, 00, 0B, 00, 00, 00, 0D, FF, FF, 06, 0C, 00, 00, 03, 24, 00, 00, C2, 26, 00, 00, 01, 38
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 7F, C1, 76, 5A, 00, 01, 16, 48, 00, 01, 18, 42, FF, FE, 8B, 91, 00, 7F, 42, D2, 00, 3A, 50, 9B, 0F, A3, 00, 9A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 81, 50, 00, 19, 00, 00, 00, 01, FF, FF, 00, 3E, 00, 00, 00, 00, 00, 00, 02, C5, 00, 00, C1, 3A, 00, 00, 01, 37
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 82, DF, 3C, E5, 00, 00, F1, 39, 00, 01, 70, EC, 00, 01, 66, 83, 00, 78, 3B, 41, 00, 48, 51, 4E, 0F, 97, 00, C1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 84, 6E, 00, 23, FF, FF, FF, D4, FF, FF, FF, FD, 00, 00, 05, E3, 00, 00, 02, D2, 00, 00, C1, 7A, 00, 00, 01, 25
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 85, FD, F8, 87, 00, 02, 94, 95, FF, FF, 98, 89, FF, FF, D8, 8C, 00, 7F, 38, F5, 00, 3A, 24, BF, 0F, A1, 00, 73
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 87, 8B, FF, C3, FF, FF, 00, 20, 00, 00, FF, FC, FF, FF, 05, C5, 00, 00, 03, 00, 00, 00, C1, 69, 00, 00, 01, 30
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 89, 19, F6, 65, FF, FD, B3, ED, FF, FE, 14, 6F, 00, 01, 0E, 55, 00, 7A, 49, 0B, 00, 44, 7D, 35, 0F, AA, 00, 47
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 8A, A6, 00, 28, 00, 00, 00, 00, 00, 00, 00, 06, 00, 00, 05, ED, 00, 00, 02, E0, 00, 00, C2, 38, 00, 00, 01, 7A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 8C, 34, 84, B9, 00, 00, F0, 48, 00, 00, 98, DC, FF, FE, 37, F9, 00, 7E, 1B, 8D, 00, 39, 8F, 6B, 0F, A5, 00, 30
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 8D, C2, FF, D8, FF, FF, FF, FA, FF, FF, 00, 1D, 00, 00, 05, B3, 00, 00, 03, 47, 00, 00, C1, 46, 00, 00, 01, 8F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 8F, 4F, 06, 14, 00, 01, 06, 25, 00, 00, AB, 40, FF, FF, B0, 61, 00, 7B, FA, 99, 00, 44, 8D, 0E, 0F, 9B, 00, 02
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 90, DE, 00, 2F, 00, 00, 00, 11, 00, 00, 00, 13, 00, 00, 06, 4E, 00, 00, 02, A9, 00, 00, C1, 76, 00, 00, 01, 45
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 92, 6C, B4, 8E, FF, FE, 9D, 54, FF, FF, 98, E1, 00, 01, 01, 3C, 00, 7E, 87, D5, 00, 3E, D9, 06, 0F, 9F, 00, D5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 93, F9, FF, E9, FF, FF, FF, E5, FF, FF, 00, 1D, 00, 00, 05, D1, 00, 00, 03, 6C, 00, 00, C1, 75, 00, 00, 01, 3A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 95, 88, C5, E5, FF, FF, 0D, B0, 00, 00, 18, 31, 00, 01, CE, 42, 00, 7E, BC, 28, 00, 44, 8F, ED, 0F, A5, 00, FF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 97, 17, 00, 33, 00, 00, FF, FB, FF, FF, FF, DB, FF, FF, 06, 45, 00, 00, 02, B1, 00, 00, C1, FD, 00, 00, 01, BB
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 98, A4, A8, 8B, 00, 01, 8D, 49, FF, FF, 1C, 4D, 00, 00, 22, CC, 00, 81, C7, E7, 00, 39, CB, 30, 0F, A6, 00, 00
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 9A, 31, FF, D3, FF, FF, 00, 11, 00, 00, 00, 18, 00, 00, 05, D4, 00, 00, 03, 28, 00, 00, 00, 00, 00, 00, 01, 16
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 9B, BF, 10, D7, 00, 01, 87, 35, FF, FF, 30, 25, FF, FF, 00, 00, 00, 79, 23, C8, 00, 3D, C0, D6, 0F, A0, 00, 82
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 9D, 4D, 00, 28, 00, 00, 00, 31, 00, 00, 00, 23, 00, 00, 06, 24, 00, 00, 02, 9C, 00, 00, C1, 51, 00, 00, 01, 8E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 9E, DB, AF, 47, 00, 01, 95, B8, 00, 01, 8F, 94, 00, 01, 00, 00, 00, 7E, E9, 66, 00, 3E, E6, 3D, 0F, 97, 00, 03
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A0, 68, 00, 2E, 00, 00, FF, F0, FF, FF, FF, E1, FF, FF, 05, BB, 00, 00, 03, 43, 00, 00, C1, 83, 00, 00, 01, 99
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A1, F7, 84, 4F, 00, 00, 87, 33, FF, FF, 9B, 88, 00, 00, DB, 56, 00, 7C, 85, 72, 00, 3E, 5C, 45, 0F, 9F, 00, C4
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A3, 85, FF, EC, 00, 00, FF, F0, FF, FF, 00, 18, 00, 00, 06, 64, 00, 00, 02, B6, 00, 00, C1, A6, 00, 00, 01, EF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A5, 14, 89, 64, 00, 00, 31, 31, FF, FF, 8D, F1, 00, 00, 11, 53, 00, 7A, 52, DB, 00, 46, DF, 7B, 0F, A5, 00, 30
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A6, A2, 00, 1E, 00, 00, FF, F4, 00, 00, 00, 07, 00, 00, 05, B7, 00, 00, 03, 06, 00, 00, C1, E9, 00, 00, 01, 1D
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A8, 31, 01, 34, 00, 02, 71, A5, 00, 00, 1B, 21, 00, 00, E1, 50, 00, 7F, 7B, 9A, 00, 3C, 1B, 3A, 0F, A4, 00, B8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, A9, BE, FF, ED, FF, FF, 00, 10, 00, 00, FF, E0, FF, FF, 06, 66, 00, 00, 02, EE, 00, 00, C1, 65, 00, 00, 01, 0E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, AB, 4C, 9F, CE, 00, 00, 69, 38, 00, 01, 26, 18, 00, 00, D0, 62, 00, 7A, EE, 18, 00, 44, 1D, DB, 0F, 9C, 00, 2A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, AC, D9, 00, 19, 00, 00, 00, 1B, FF, FF, FF, F6, FF, FF, 05, 82, 00, 00, 02, B3, 00, 00, C1, 5C, 00, 00, 01, 51
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, AE, 68, B4, 0A, 00, 00, 1D, 64, FF, FD, 99, 9C, 00, 01, 9E, BF, 00, 7F, 9E, 67, 00, 3D, 00, 00, 0F, 9A, 00, 9B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, AF, F5, FF, E3, FF, FF, FF, DE, FF, FF, 00, 02, FF, FF, 06, 1D, 00, 00, 03, 48, 00, 00, C1, 73, 00, 00, 01, 4F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B1, 83, 21, 2E, FF, FF, 03, A6, FF, FF, AA, 25, FF, FF, B3, 5D, 00, 7E, 04, A8, 00, 43, 98, CE, 0F, A4, 00, D8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B3, 10, 00, 48, 00, 00, FF, BE, FF, FF, FF, FD, 00, 00, 05, EB, 00, 00, 02, CF, 00, 00, C1, 97, 00, 00, 01, 29
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B4, 9E, A6, 34, 00, 02, B7, F2, FF, FE, 03, E3, 00, 00, 9C, 0E, 00, 7F, 00, 00, 00, 40, ED, 42, 0F, A0, 00, 4E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B6, 2B, FF, E9, FF, FF, FF, D8, 00, 00, 00, 13, FF, FF, 05, E1, 00, 00, 03, 42, 00, 00, C1, 9A, 00, 00, 01, 83
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B7, BA, 6E, 78, 00, 01, FC, 41, 00, 01, 81, 55, 00, 01, 26, AF, 00, 7C, 3F, 99, 00, 3E, 14, 93, 0F, A2, 00, 79
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, B9, 49, 00, 2E, 00, 00, 00, 0B, 00, 00, 00, 12, 00, 00, 05, E3, 00, 00, 02, F8, 00, 00, C1, 7F, 00, 00, 01, BD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, BA, D8, BF, 8A, 00, 00, 92, F7, 00, 00, A0, 32, FF, FF, 4A, C3, 00, 80, 9F, F7, 00, 3F, 83, 68, 0F, 99, 00, 76
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, BC, 66, 00, 23, 00, 00, FF, F9, 00, 00, FF, E5, 00, 00, 05, F7, 00, 00, 03, 60, 00, 00, C1, AE, 00, 00, 01, 3D
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, BD, F5, FF, 67, 00, 01, 8B, D4, FF, FF, A6, 5F, FF, FE, 4E, 26, 00, 7B, DA, 7F, 00, 42, 09, 23, 0F, A6, 00, 30
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, BF, 84, FF, F3, FF, FF, FF, EF, FF, FF, 00, 29, 00, 00, 05, F2, 00, 00, 02, C6, 00, 00, C1, 9B, 00, 00, 01, B1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C1, 12, DF, 02, 00, 00, 8E, D6, FF, FF, 15, 9C, 00, 01, AC, AC, 00, 80, F6, EC, 00, 3F, E1, 8A, 0F, 9E, 00, 26
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C2, A1, 00, 33, 00, 00, 00, 0A, FF, FF, 00, 18, 00, 00, 06, 09, 00, 00, 03, 39, 00, 00, C1, DC, 00, 00, 01, EC
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C4, 2F, 99, B5, 00, 01, 98, B0, 00, 00, 92, 2E, 00, 00, BE, 7E, 00, 7C, 11, 6D, 00, 35, 01, 82, 0F, A3, 00, 37
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C5, BD, 00, 13, 00, 00, FF, F0, FF, FF, 00, 0D, 00, 00, 05, FF, 00, 00, 02, D7, 00, 00, C1, 3C, 00, 00, 01, B7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C7, 4C, C4, 99, FF, FE, FD, 5C, 00, 00, 9F, A3, FF, FF, 2C, DC, 00, 7B, 98, 97, 00, 45, 83, 5E, 0F, 98, 00, D2
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C8, D9, 00, 23, FF, FF, FF, D9, FF, FF, 00, 07, 00, 00, 06, 01, 00, 00, 03, 0E, 00, 00, C1, C1, 00, 00, 01, 87
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CA, 66, FB, AD, 00, 01, 9F, AD, FF, FE, A5, 59, FF, FF, 82, 1B, 00, 80, 39, EC, 00, 3A, 96, AF, 0F, A2, 00, DD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CB, F5, 00, 0E, 00, 00, FF, FB, FF, FF, FF, E6, FF, FF, 06, 1C, 00, 00, 02, DB, 00, 00, C1, 89, 00, 00, 01, 40
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CD, 84, F2, 54, FF, FC, F1, C5, FF, FF, AB, F8, FF, FE, 88, CB, 00, 7D, 0E, 65, 00, 44, 72, A0, 0F, 9F, 00, 7A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CF, 11, 00, 17, 00, 00, FF, FF, FF, FF, 00, 0C, 00, 00, 05, EC, 00, 00, 02, C8, 00, 00, C1, D1, 00, 00, 01, 9A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D0, A0, 7C, 12, 00, 02, 13, C5, 00, 00, 92, A0, 00, 01, 52, 65, 00, 81, A6, 19, 00, 38, 00, A3, 0F, A5, 00, DE
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D2, 2E, FF, DE, FF, FF, FF, F4, FF, FF, 00, 23, 00, 00, 06, 00, 00, 00, 03, 18, 00, 00, C1, 61, 00, 00, 01, 80
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D3, BC, D4, 8F, FF, FF, 0B, B1, 00, 00, 23, 49, FF, FE, 4D, 17, 00, 7C, D7, F4, 00, 48, 89, 5B, 0F, A2, 00, EA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D5, 49, 00, 48, 00, 00, FF, F0, FF, FF, FF, C4, FF, FF, 06, 05, 00, 00, 02, 9B, 00, 00, C1, C1, 00, 00, 01, 8C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D6, D8, 86, C0, 00, 01, 6C, 73, 00, 00, 09, 14, 00, 02, 6A, 91, 00, 7D, 6A, 65, 00, 3A, 00, 00, 0F, 9E, 00, 6E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D8, 66, FF, C3, FF, FF, 00, 31, 00, 00, 00, 28, 00, 00, 05, B0, 00, 00, 03, 23, 00, 00, C1, 61, 00, 00, 01, A2
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D9, F3, B3, BC, FF, FF, 2B, ED, FF, FE, 82, 38, 00, 01, 2B, E8, 00, 7D, CF, EC, 00, 48, E1, 93, 0F, A2, 00, 0E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DB, 81, 00, 3A, 00, 00, FF, E4, 00, 00, 00, 1E, 00, 00, 06, 48, 00, 00, 02, C2, 00, 00, C1, 9B, 00, 00, 01, 53
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DD, 0F, 97, 3D, 00, 00, 6A, 08, 00, 00, 06, 3D, 00, 00, 8C, 47, 00, 7F, FD, 64, 00, 3A, B1, 59, 0F, 9F, 00, 67
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DE, 9D, FF, DE, FF, FF, 00, 06, 00, 00, FF, F7, FF, FF, 05, A9, 00, 00, 03, 5A, 00, 00, C1, 75, 00, 00, 01, DF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E0, 2C, 97, F4, 00, 01, 16, A6, FF, FF, 16, 10, FF, FF, 9A, A3, 00, 78, 0B, 7F, 00, 40, FD, 43, 0F, A6, 00, 37
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E1, B9, 00, 0E, 00, 00, 00, 16, 00, 00, 00, 12, FF, FF, 06, 2F, 00, 00, 02, D5, 00, 00, C1, BE, 00, 00, 01, A7
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E3, 47, 25, 1C, 00, 00, 13, C2, 00, 00, 87, 7B, 00, 02, 9F, 43, 00, 81, 4E, 52, 00, 3C, 87, E9, 0F, 9B, 00, EA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E4, D6, FF, EE, 00, 00, FF, DF, FF, FF, 00, 23, 00, 00, 05, B0, 00, 00, 03, 39, 00, 00, 00, 00, 00, 00, 01, E5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E6, 65, 1F, 09, FF, FF, 9C, 45, FF, FD, 0E, F2, 00, 00, 4C, C5, 00, 78, 40, B5, 00, 3F, D2, E1, 0F, A0, 00, BA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E7, F3, FF, E8, FF, FF, 00, 05, 00, 00, FF, EA, 00, 00, 06, 24, 00, 00, 02, E4, 00, 00, C1, B0, 00, 00, 01, 7C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, E9, 82, 58, 07, 00, 01, 18, 0D, FF, FE, 00, 00, 00, 00, ED, D8, 00, 82, 75, 07, 00, 3F, A9, 39, 0F, 9E, 00, CB
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EB, 10, FF, FE, FF, FF, 00, 00, 00, 00, 00, 23, 00, 00, 05, C3, 00, 00, 03, 24, 00, 00, C1, CD, 00, 00, 01, E4
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EC, 9F, A5, 9A, FF, FF, 95, E0, 00, 00, 15, B8, 00, 00, 00, 00, 00, 78, 08, 18, 00, 3B, 56, 08, 00, 00, 00, 88
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EE, 2D, 00, 13, FF, FF, 00, 16, 00, 00, 00, 17, 00, 00, 06, 73, 00, 00, 03, 00, 00, 00, C1, 7F, 00, 00, 01, 63
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, EF, BB, 40, BD, FF, FE, 7F, 70, FF, FF, 16, B5, FF, FF, D1, B8, 00, 77, 00, 00, 00, 42, 2B, E1, 0F, 9F, 00, A3
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F1, 4A, FF, FE, 00, 00, FF, DB, FF, FF, 00, 0D, 00, 00, 05, B6, 00, 00, 03, 15, 00, 00, C1, C0, 00, 00, 01, BF
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F2, D7, B6, D7, 00, 00, 00, 00, FF, FF, 07, 56, 00, 00, 67, 7F, 00, 7D, 54, 8E, 00, 3A, E7, FD, 0F, A2, 00, 12
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F4, 65, 00, 09, 00, 00, 00, 15, FF, FF, 00, 13, 00, 00, 06, 86, 00, 00, 03, 0F, 00, 00, C1, 85, 00, 00, 01, BA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F5, F4, 87, 38, FF, FF, 75, 58, 00, 01, 9A, 62, 00, 00, 74, 83, 00, 7D, 2B, 2A, 00, 47, 9E, 1F, 0F, A1, 00, 3A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F7, 82, 00, 1E, 00, 00, FF, E5, 00, 00, FF, EC, FF, FF, 05, 8F, 00, 00, 02, C0, 00, 00, C1, A6, 00, 00, 01, 6F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F9, 11, 95, 9B, 00, 02, 11, F0, FF, FF, 1E, 9C, FF, FE, 68, 64, 00, 7C, E9, 44, 00, 3C, 10, C3, 0F, A4, 00, 76
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FA, 9F, FF, D3, FF, FF, FF, EF, FF, FF, 00, 08, 00, 00, 06, 3B, 00, 00, 03, 4D, 00, 00, C1, 61, 00, 00, 01, 5E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FC, 2E, 00, 00, FF, FF, B2, C6, FF, FF, 9C, 6C, 00, 00, C9, F9, 00, 7B, B0, 0F, 00, 00, 03, 60, 0F, A0, 00, 01
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FD, BB, 00, 1E, 00, 00, FF, F0, FF, FF, 00, 18, 00, 00, 05, F7, 00, 00, 02, D5, 00, 00, C1, C2, 00, 00, 01, 7F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, FF, 48, 24, A9, 00, 00, 8B, 7A, 00, 01, 8A, 1A, 00, 00, 09, 89, 00, 7E, 9B, AF, 00, 3D, 57, AC, 0F, 9C, 00, 50
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 00, D6, 00, 13, 00, 00, FF, DA, FF, FF, 00, 28, 00, 00, 06, 17, 00, 00, 03, 33, 00, 00, C1, 90, 00, 00, 01, DA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 02, 64, B8, 25, FF, FF, 9F, 76, FF, FD, 9F, 6D, 00, 00, 59, 31, 00, 7B, D5, CE, 00, 43, EF, 65, 00, 00, 00, EA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 03, F3, 00, 2E, 00, 00, FF, F5, 00, 00, 00, 12, FF, FF, 05, FF, 00, 00, 02, 70, 00, 00, C1, 63, 00, 00, 01, 10
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 05, 81, CF, 38, 00, 00, 8D, 3A, 00, 00, 89, DF, 00, 01, 33, 18, 00, 7E, 0F, C1, 00, 3A, 3A, F4, 0F, 9E, 00, B8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 07, 0E, 00, 23, FF, FF, FF, F5, 00, 00, FF, F7, FF, FF, 05, F7, 00, 00, 03, 75, 00, 00, C1, 9F, 00, 00, 01, 40
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 08, 9D, 0F, 26, FF, FE, 00, AF, FF, FF, 10, BE, 00, 01, B2, 7B, 00, 7A, CD, B7, 00, 3E, 46, 1A, 0F, A2, 00, 1A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0A, 2A, 00, 29, 00, 00, 00, 16, FF, FF, 00, 1E, 00, 00, 06, 12, 00, 00, 02, BF, 00, 00, C1, 79, 00, 00, 01, F0
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0B, B9, DE, 58, FF, FE, 28, 4B, 00, 01, 88, 12, 00, 00, 6D, C5, 00, 7F, A4, 0F, 00, 3D, 92, 59, 0F, 9A, 00, 87
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0D, 48, FF, E2, FF, FF, FF, EA, FF, FF, 00, 0E, 00, 00, 06, 10, 00, 00, 03, 56, 00, 00, C1, F9, 00, 00, 01, A0
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 0E, D7, 0E, 7D, 00, 00, 8F, FD, FF, FF, 2A, FB, FF, FE, 00, 1F, 00, 79, 78, 0C, 00, 3A, 4A, 0F, 0F, A3, 00, CA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 10, 66, 00, 34, 00, 00, FF, DF, FF, FF, 00, 08, 00, 00, 05, DA, 00, 00, 02, E5, 00, 00, C1, B4, 00, 00, 01, 17
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 11, F4, 50, 75, FF, FF, 69, 69, 00, 01, EA, AF, 00, 01, 50, FC, 00, 7C, 3F, 88, 00, 45, D2, AC, 0F, 9C, 00, 7F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 13, 82, FF, EE, FF, FF, FF, DF, FF, FF, 00, 03, 00, 00, 06, 02, 00, 00, 03, 55, 00, 00, C1, D8, 00, 00, 01, A6
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 15, 11, 22, 1E, 00, 00, 58, BC, 00, 00, A2, F0, FF, FF, 73, 4D, 00, 7A, F7, E0, 00, 3D, 12, 2E, 0F, 9F, 00, 93
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 16, 9F, FF, F7, FF, FF, 00, 15, 00, 00, FF, F0, FF, FF, 06, 2F, 00, 00, 02, C2, 00, 00, C1, 23, 00, 00, 01, D6
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 18, 2D, CC, 09, FF, FF, 0E, 5C, FF, FF, 8A, D5, 00, 00, A3, 02, 00, 79, 18, CA, 00, 47, EB, 3A, 0F, 9D, 00, 44
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 19, BA, FF, E8, FF, FF, 00, 06, 00, 00, FF, FC, FF, FF, 06, 05, 00, 00, 02, EE, 00, 00, C1, CF, 00, 00, 01, 90
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1B, 49, B4, A4, 00, 00, 08, 12, FF, FF, 19, E9, 00, 00, 6C, 5F, 00, 81, 67, AF, 00, 37, 18, DA, 0F, A3, 00, 60
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1C, D6, FF, E3, FF, FF, 00, 06, FF, FF, FF, FC, FF, FF, 06, 25, 00, 00, 00, 00, 00, 00, C1, 8F, 00, 00, 01, 98
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1E, 64, 28, 8A, FF, FD, F7, C3, 00, 00, 94, 7E, 00, 00, 24, C2, 00, 7B, 08, E4, 00, 46, 0E, 7E, 0F, A3, 00, 1A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 1F, F1, 00, 18, 00, 00, FF, FB, 00, 00, FF, FC, FF, FF, 06, 07, 00, 00, 02, E5, 00, 00, C1, D2, 00, 00, 01, F0
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 21, 7F, 73, 43, 00, 02, 17, 6C, FF, FF, 8E, A2, 00, 01, 00, 00, 00, 7C, EF, 59, 00, 37, 08, 33, 0F, A2, 00, 3E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 23, 0E, FF, E4, 00, 00, 00, 10, 00, 00, 00, 18, 00, 00, 05, DF, 00, 00, 03, 1F, 00, 00, C1, 30, 00, 00, 01, 81
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 24, 9C, 2A, F0, FF, FF, 03, D7, 00, 00, 98, 2B, 00, 00, 9C, 93, 00, 7E, C9, 59, 00, 46, F4, C0, 0F, 9A, 00, 34
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 26, 2B, 00, 2F, 00, 00, FF, F5, FF, FF, 00, 2E, 00, 00, 06, 26, 00, 00, 02, B3, 00, 00, C1, 99, 00, 00, 01, 29
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 27, BA, 53, 12, FF, FD, 10, 4B, FF, FF, 19, B8, FF, FF, 6D, C7, 00, 7F, 8E, 62, 00, 3A, 62, 2D, 0F, 9F, 00, D1
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 29, 48, FF, CD, FF, FF, 00, 0B, 00, 00, 00, 1E, 00, 00, 05, BE, 00, 00, 03, 9B, 00, 00, C1, A6, 00, 00, 01, 7A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2A, D6, 47, C6, FF, FE, 15, 8A, FF, FE, 05, B7, 00, 02, D5, E2, 00, 77, 18, EC, 00, 44, 7D, 6C, 0F, A6, 00, C5
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2C, 63, 00, 43, 00, 00, FF, F9, FF, FF, 00, 01, 00, 00, 06, 44, 00, 00, 02, B8, 00, 00, C1, B5, 00, 00, 01, 91
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2D, F1, 2C, 44, 00, 00, AD, DF, 00, 00, 82, D9, 00, 02, 5A, 9C, 00, 81, 4A, 87, 00, 3A, 4B, CD, 0F, 9B, 00, 08
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 2F, 80, FF, EE, FF, FF, 00, 0A, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 03, 5E, 00, 00, C1, 7D, 00, 00, 01, 93
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, 31, 0D, C9, 57, 00, 00, 18, 24, 00, 00, 27, 92, 00, 00, 4D, EF, 00, 7A, FE, 1E, 00, 3E, 35, D1, 0F, A5, 00, 6A
